DATE,OPEN,HIGH,LOW,CLOSE,TICKVOL,VOL,SMA9,SMA21,BBdown,BBmavg,BBup,OBV,RSI,SOfastK,SOfastD,SOslowD,MACD,MACDSinal,Dolar,CCMS,IBoiEsalq,IBezEsalq MS,IBezEsalq SP,IFraCEsalq,IFraResEsalq,IMilhoEsalq,ISuiEsalq MG,ISuiEsalq PR,ISuiEsalq RS,ISuiEsalq SC,ISuiEsalq SP
21/03/2013,98.01,98.26,98.01,98.11,1530,539,NA,NA,NA,NA,NA,539,NA,NA,NA,NA,NA,NA,,,98.36,766.26,758.57,3.65,3.58,29.74,3.58,2.93,2.83,2.85,3.22
22/03/2013,98.40,98.45,98.20,98.25,1730,626,NA,NA,NA,NA,NA,1165,NA,NA,NA,NA,NA,NA,,,98.51,770.95,761.2,3.66,3.54,29.5,3.57,2.93,2.83,2.85,3.2
25/03/2013,98.43,98.58,98.43,98.43,500,155,NA,NA,NA,NA,NA,1320,NA,NA,NA,NA,NA,NA,,,98.57,775.11,761.51,3.64,3.57,29.46,3.56,2.92,2.8,2.87,3.2
26/03/2013,98.55,98.75,98.55,98.65,610,225,NA,NA,NA,NA,NA,1545,NA,NA,NA,NA,NA,NA,,,98.6,762.28,760.66,3.63,3.53,29.26,3.49,2.93,2.8,2.85,3.18
27/03/2013,98.56,98.61,98.56,98.61,880,97,NA,NA,NA,NA,NA,1448,NA,NA,NA,NA,NA,NA,,,99.19,763.44,760.28,3.63,3.53,29.07,3.49,2.9,2.81,2.85,3.18
28/03/2013,98.05,98.10,97.80,98.10,730,337,NA,NA,NA,NA,NA,1111,NA,NA,NA,NA,NA,NA,,,99.29,760.79,762.99,3.61,3.48,29.07,3.48,2.89,2.83,2.85,3.18
01/04/2013,98.05,98.05,97.70,97.80,470,216,NA,NA,NA,NA,NA,895,NA,NA,NA,NA,NA,NA,,,99.23,749.42,756.45,3.65,3.49,28.46,3.47,2.89,2.83,2.85,3.19
02/04/2013,97.80,98.25,97.75,98.20,910,324,NA,NA,NA,NA,NA,1219,NA,NA,NA,NA,NA,NA,,,99.47,752.49,757.74,3.68,3.48,28.22,3.43,2.89,2.81,2.8,3.07
03/04/2013,98.51,98.61,98.51,98.61,1900,456,98.31,NA,NA,NA,NA,1675,NA,NA,NA,NA,NA,NA,,,99.5,756.69,761.43,3.61,3.51,28.07,3.42,2.8,2.79,2.8,3.01
04/04/2013,98.85,98.85,98.65,98.85,1380,575,98.39,NA,NA,NA,NA,2250,NA,NA,NA,NA,NA,NA,,,99.46,760.88,761.49,3.61,3.53,27.6,3.37,2.75,2.73,2.81,2.96
05/04/2013,98.90,98.90,98.55,98.55,1200,556,98.42,NA,NA,NA,NA,1694,NA,NA,NA,NA,NA,NA,,,99.59,760.88,761.72,3.61,3.51,27.59,3.15,2.76,2.73,2.74,2.96
