DATE;OPEN;HIGH;LOW;CLOSE;TICKVOL;VOL;Dolar;CCMS;IBoiEsalq;IBezEsalq MS;IBezEsalq SP;IFraCEsalq;IFraResEsalq;IMilhoEsalq;ISuiEsalq MG;ISuiEsalq PR;ISuiEsalq RS;ISuiEsalq SC;ISuiEsalq SP
21/03/2013;98,01;98,26;98,01;98,11;1530;539;;;98,36;766,26;758,57;3,65;3,58;29,74;3,58;2,93;2,83;2,85;3,22
22/03/2013;98,40;98,45;98,20;98,25;1730;626;;;98,51;770,95;761,2;3,66;3,54;29,5;3,57;2,93;2,83;2,85;3,2
25/03/2013;98,43;98,58;98,43;98,43;500;155;;;98,57;775,11;761,51;3,64;3,57;29,46;3,56;2,92;2,8;2,87;3,2
26/03/2013;98,55;98,75;98,55;98,65;610;225;;;98,6;762,28;760,66;3,63;3,53;29,26;3,49;2,93;2,8;2,85;3,18
27/03/2013;98,56;98,61;98,56;98,61;880;97;;;99,19;763,44;760,28;3,63;3,53;29,07;3,49;2,9;2,81;2,85;3,18
28/03/2013;98,05;98,10;97,80;98,10;730;337;;;99,29;760,79;762,99;3,61;3,48;29,07;3,48;2,89;2,83;2,85;3,18
01/04/2013;98,05;98,05;97,70;97,80;470;216;;;99,23;749,42;756,45;3,65;3,49;28,46;3,47;2,89;2,83;2,85;3,19
02/04/2013;97,80;98,25;97,75;98,20;910;324;;;99,47;752,49;757,74;3,68;3,48;28,22;3,43;2,89;2,81;2,8;3,07
03/04/2013;98,51;98,61;98,51;98,61;1900;456;;;99,5;756,69;761,43;3,61;3,51;28,07;3,42;2,8;2,79;2,8;3,01
04/04/2013;98,85;98,85;98,65;98,85;1380;575;;;99,46;760,88;761,49;3,61;3,53;27,6;3,37;2,75;2,73;2,81;2,96
05/04/2013;98,90;98,90;98,55;98,55;1200;556;;;99,59;760,88;761,72;3,61;3,51;27,59;3,15;2,76;2,73;2,74;2,96
08/04/2013;98,80;98,80;98,30;98,40;850;561;;;100,06;764,38;762,79;3,61;3,51;27,78;3,15;2,74;2,69;2,66;2,96
09/04/2013;98,70;98,90;98,65;98,85;1260;733;;;99,57;775,7;761;3,61;3,51;27,28;3,15;2,74;2,66;2,68;2,93
10/04/2013;98,50;98,95;98,30;98,75;860;583;;;99,78;771,77;762,6;3,42;3,36;27,01;3,13;2,69;2,66;2,7;2,91
11/04/2013;99,00;99,10;98,95;99,05;1020;755;;;99,79;772,7;762,83;3,41;3,34;26,8;3,13;2,69;2,66;2,68;2,89
12/04/2013;99,03;99,08;98,68;98,83;550;385;;;100,08;778,15;763,11;3,46;3,41;26,71;2,95;2,69;2,66;2,68;2,88
15/04/2013;99,10;99,55;99,10;99,40;1390;934;;;100,11;781,94;764,88;3,45;3,40;26,48;2,96;2,65;2,64;2,68;2,81
16/04/2013;99,75;100,15;99,60;99,80;1030;929;;;100,44;787,03;767,78;3,43;3,40;26,15;2,95;2,58;2,63;2,61;2,74
17/04/2013;100,00;100,00;99,60;99,60;950;661;;;100,27;779,85;765,83;3,38;3,20;25,8;2,95;2,56;2,58;2,63;2,75
18/04/2013;99,70;99,95;99,45;99,80;540;200;;;100,6;787,41;768,86;3,36;3,19;25,67;2,95;2,55;2,56;2,55;2,75
19/04/2013;100,10;100,30;100,00;100,10;670;562;;;100,53;783,88;769,14;3,28;3,18;25,73;2,95;2,55;2,56;2,54;2,69
22/04/2013;99,94;100,15;99,70;100,00;1370;1158;;;100,5;781,34;766,59;3,26;3,15;25,51;2,94;2,51;2,55;2,54;2,68
23/04/2013;99,80;100,15;99,75;99,80;1110;454;;;100,5;784,01;768,64;3,25;3,14;25,11;2,93;2,43;2,43;2,46;2,67
24/04/2013;100,00;100,00;99,65;99,80;790;229;;;100,4;784,54;773,63;3,19;3,07;25,22;2,94;2,39;2,41;2,46;2,63
25/04/2013;100,09;100,15;100,00;100,00;330;126;;;100,16;782,93;780,38;3,17;2,99;25,14;2,95;2,38;2,4;2,45;2,59
26/04/2013;99,81;99,91;99,81;99,91;510;932;;;99,65;783,8;781,78;3,16;2,99;24,91;2,81;2,38;2,41;2,45;2,59
29/04/2013;99,85;99,85;99,80;99,80;290;167;;;99,49;773,42;781,06;3,15;2,93;24,79;2,71;2,38;2,39;2,47;2,58
30/04/2013;96,88;97,10;96,55;96,85;2800;1143;;;99,27;784,34;780,99;3,12;2,88;24,91;2,68;2,32;2,38;2,47;2,54
02/05/2013;97,00;97,35;96,55;96,75;2970;1250;;27,01;99,76;784,72;774,45;3,16;2,88;25,1;2,68;2,29;2,42;2,48;2,49
03/05/2013;97,16;97,60;97,15;97,30;5310;3038;;26,32;98,76;785,35;781,77;3,18;2,88;25,28;2,69;2,29;2,37;2,46;2,47
06/05/2013;96,70;96,90;96,60;96,65;2460;785;;25,78;97,77;779,46;788,84;3,18;2,91;25,28;2,76;2,29;2,35;2,43;2,48
07/05/2013;96,40;96,79;96,24;96,39;7440;3033;;25,62;97,96;777,78;794,31;3,06;2,84;25,49;2,83;2,28;2,34;2,37;2,46
08/05/2013;96,14;96,14;95,79;96,04;4600;2142;;25,3;98,44;780,95;794,06;3,01;2,85;25,5;2,86;2,27;2,31;2,37;2,44
09/05/2013;96,57;96,70;96,25;96,30;5000;1885;;25,78;98,52;781,57;795,55;2,99;2,84;25,52;2,87;2,24;2,31;2,35;2,44
10/05/2013;96,11;96,31;96,01;96,11;4120;2108;;25,53;97,99;780,75;792,63;3,01;2,85;25,65;2,89;2,24;2,31;2,36;2,45
13/05/2013;96,01;96,16;95,76;95,86;3010;1146;;26,2;97,95;788,26;789,55;3,01;2,87;25,72;2,9;2,24;2,35;2,36;2,45
14/05/2013;96,69;96,99;96,69;96,94;7850;2672;;26,22;97,72;782,12;787,22;2,97;2,85;25,86;2,92;2,22;2,36;2,39;2,6
15/05/2013;96,72;96,87;96,57;96,57;4150;1586;;26;97,54;777,57;781,95;3,04;2,88;26,14;2,92;2,26;2,36;2,4;2,64
16/05/2013;96,50;96,80;96,50;96,75;2840;951;;25,69;97,48;777,18;777,38;3,04;2,84;26,16;2,92;2,32;2,36;2,43;2,65
17/05/2013;97,00;97,20;96,90;97,15;4040;1539;;26,06;97,46;781,3;776,39;3,08;2,82;26,33;2,91;2,32;2,37;2,43;2,68
20/05/2013;97,29;97,35;97,10;97,15;3130;951;;25,84;97,37;788,29;772,71;3,06;2,80;26,29;3,05;2,32;2,42;2,45;2,69
21/05/2013;97,16;97,31;97,16;97,26;2670;1584;;25,93;97,25;790,2;767,16;2,94;2,77;26,5;3,05;2,45;2,42;2,48;2,76
22/05/2013;97,25;97,55;97,20;97,50;3480;2242;;26,12;97,23;791,24;769,82;2,89;2,72;26,2;3,04;2,46;2,44;2,48;2,81
23/05/2013;97,69;97,75;97,45;97,45;2210;1274;;26,2;97,27;789,54;769,58;2,89;2,70;26,45;3,06;2,52;2,43;2,47;2,88
24/05/2013;97,50;97,60;97,25;97,40;3480;1542;;26,25;97,31;789,06;765,67;2,89;2,70;26,53;2,94;2,53;2,43;2,47;2,89
27/05/2013;97,65;97,80;97,45;97,50;1310;780;;26,05;97,58;792,56;767,6;2,89;2,70;26,44;2,95;2,53;2,43;2,48;2,9
28/05/2013;97,69;97,69;97,54;97,59;2220;1443;;26,8;98,14;786,11;770,36;2,91;2,68;26,5;2,94;2,54;2,4;2,49;2,88
29/05/2013;97,79;97,94;97,79;97,84;760;552;;27,55;98,32;787,02;767,53;2,91;2,68;26,74;2,94;2,52;2,4;2,49;2,88
31/05/2013;98,78;98,78;98,68;98,73;890;376;;27,98;98,28;781,6;773,88;2,91;2,68;26,65;2,94;2,53;2,37;2,5;2,88
03/06/2013;98,84;99,00;98,80;98,80;1590;982;;27,65;98;768,23;768,17;2,92;2,73;27,19;2,93;2,54;2,38;2,52;2,88
04/06/2013;98,80;98,80;98,45;98,55;2770;1680;;27,72;97,95;778,34;769,92;2,87;2,71;27,31;2,92;2,56;2,36;2,51;2,89
