DATE,OPEN,HIGH,LOW,CLOSE,TICKVOL,VOL,SMA9,SMA21,BBdown,BBmavg,BBup,OBV,RSI,SOfastK,SOfastD,SOslowD,MACD,MACDSinal
21/03/2013,98.01,98.26,98.01,98.11,1530,539,NA,NA,NA,NA,NA,539,NA,NA,NA,NA,NA,NA
22/03/2013,98.40,98.45,98.20,98.25,1730,626,NA,NA,NA,NA,NA,1165,NA,NA,NA,NA,NA,NA
25/03/2013,98.43,98.58,98.43,98.43,500,155,NA,NA,NA,NA,NA,1320,NA,NA,NA,NA,NA,NA
26/03/2013,98.55,98.75,98.55,98.65,610,225,NA,NA,NA,NA,NA,1545,NA,NA,NA,NA,NA,NA
27/03/2013,98.56,98.61,98.56,98.61,880,97,NA,NA,NA,NA,NA,1448,NA,NA,NA,NA,NA,NA
28/03/2013,98.05,98.10,97.80,98.10,730,337,NA,NA,NA,NA,NA,1111,NA,NA,NA,NA,NA,NA
01/04/2013,98.05,98.05,97.70,97.80,470,216,NA,NA,NA,NA,NA,895,NA,NA,NA,NA,NA,NA
02/04/2013,97.80,98.25,97.75,98.20,910,324,NA,NA,NA,NA,NA,1219,NA,NA,NA,NA,NA,NA
03/04/2013,98.51,98.61,98.51,98.61,1900,456,98.31,NA,NA,NA,NA,1675,NA,NA,NA,NA,NA,NA
04/04/2013,98.85,98.85,98.65,98.85,1380,575,98.39,NA,NA,NA,NA,2250,NA,NA,NA,NA,NA,NA
05/04/2013,98.90,98.90,98.55,98.55,1200,556,98.42,NA,NA,NA,NA,1694,NA,NA,NA,NA,NA,NA
08/04/2013,98.80,98.80,98.30,98.40,850,561,98.42,NA,NA,NA,NA,1133,NA,NA,NA,NA,NA,NA
09/04/2013,98.70,98.90,98.65,98.85,1260,733,98.44,NA,NA,NA,NA,1866,NA,NA,NA,NA,NA,NA
10/04/2013,98.50,98.95,98.30,98.75,860,583,98.46,NA,NA,NA,NA,1283,NA,0.904761905,NA,NA,NA,NA
11/04/2013,99.00,99.10,98.95,99.05,1020,755,98.56,NA,NA,NA,NA,2038,62.56684492,1,NA,NA,NA,NA
12/04/2013,99.03,99.08,98.68,98.83,550,385,98.68,NA,NA,NA,NA,1653,58.83945841,0.824,0.909587302,NA,NA,NA
15/04/2013,99.10,99.55,99.10,99.40,1390,934,98.81,NA,NA,NA,NA,2587,64.70618254,1,0.941333333,NA,NA,NA
16/04/2013,99.75,100.15,99.60,99.80,1030,929,98.94,NA,NA,NA,NA,3516,68.13823727,1,0.941333333,0.930751323,NA,NA
17/04/2013,100.00,100.00,99.60,99.60,950,661,99.03,NA,NA,NA,NA,2855,64.74795163,0.9,0.966666667,0.949777778,NA,NA
18/04/2013,99.70,99.95,99.45,99.80,540,200,99.16,NA,97.63,98.73,99.83,3055,66.54080811,1,0.966666667,0.958222222,NA,NA
19/04/2013,100.10,100.30,100.00,100.10,670,562,99.35,98.80,97.62,98.83,100.04,3617,69.08097853,1,0.966666667,0.966666667,0.438369072,NA
22/04/2013,99.94,100.15,99.70,100.00,1370,1158,99.48,98.89,97.64,98.92,100.20,2459,67.24827596,0.941176471,0.980392157,0.97124183,0.438506426,NA
23/04/2013,99.80,100.15,99.75,99.80,1110,454,99.60,98.96,97.67,98.99,100.30,2005,63.61334299,0.823529412,0.921568627,0.95620915,0.422444809,NA
24/04/2013,100.00,100.00,99.65,99.80,790,229,99.68,99.03,97.69,99.05,100.40,2005,63.61334299,0.823529412,0.862745098,0.921568627,0.404421662,NA
25/04/2013,100.09,100.15,100.00,100.00,330,126,99.81,99.09,97.72,99.11,100.51,2131,65.75979403,0.941176471,0.862745098,0.882352941,0.395518213,NA
26/04/2013,99.81,99.91,99.81,99.91,510,932,99.87,99.15,97.85,99.21,100.56,1199,63.93213476,0.859259259,0.874655047,0.866715081,0.37873446,NA
29/04/2013,99.85,99.85,99.80,99.80,290,167,99.87,99.23,98.09,99.31,100.52,1032,61.6758957,0.777777778,0.859404503,0.865601549,0.355003774,0.404714059
30/04/2013,96.88,97.10,96.55,96.85,2800,1143,99.56,99.19,97.68,99.24,100.79,-111,30.54399057,0,0.545679012,0.759912854,0.178079467,0.348055411
02/05/2013,97.00,97.35,96.55,96.75,2970,1250,99.22,99.12,97.26,99.14,101.03,-1361,29.99134231,0,0.259259259,0.554780925,0.032112513,0.269069687
03/05/2013,97.16,97.60,97.15,97.30,5310,3038,98.91,99.06,97.02,99.07,101.11,1677,36.76788401,0.164179104,0.054726368,0.28655488,-0.053507644,0.188425354
06/05/2013,96.70,96.90,96.60,96.65,2460,785,98.54,98.95,96.68,98.97,101.27,892,32.73509649,0,0.054726368,0.122903999,-0.154067064,0.102802249
07/05/2013,96.40,96.79,96.24,96.39,7440,3033,98.16,98.85,96.32,98.87,101.42,-2141,31.25821531,0,0.054726368,0.054726368,-0.244534814,0.015967984
08/05/2013,96.14,96.14,95.79,96.04,4600,2142,97.74,98.74,95.90,98.73,101.56,-4283,29.33927823,0,9.25E-17,0.036484245,-0.330807602,-0.070725913
09/05/2013,96.57,96.70,96.25,96.30,5000,1885,97.33,98.62,95.59,98.61,101.63,-2398,32.6471054,0.064039409,0.02134647,0.025357613,-0.380206933,-0.148096168
10/05/2013,96.11,96.31,96.01,96.11,4120,2108,96.91,98.49,95.26,98.46,101.66,-4506,31.48709399,0.017676768,0.027238726,0.016195065,-0.424128909,-0.217104353
13/05/2013,96.01,96.16,95.76,95.86,3010,1146,96.47,98.34,94.92,98.31,101.70,-5652,29.97775175,0,0.027238726,0.02527464,-0.466454179,-0.27944181
14/05/2013,96.69,96.99,96.69,96.94,7850,2672,96.48,98.25,94.79,98.19,101.59,-2980,42.74595413,0.260869565,0.092848778,0.049108743,-0.435576625,-0.318475513
15/05/2013,96.72,96.87,96.57,96.57,4150,1586,96.46,98.11,94.64,98.03,101.42,-4566,40.05147471,0.171497585,0.144122383,0.088069962,-0.425725077,-0.345287904
16/05/2013,96.50,96.80,96.50,96.75,2840,951,96.40,97.97,94.53,97.89,101.24,-3615,41.96795004,0.219753086,0.217373412,0.151448191,-0.40288185,-0.359686391
